Total Sales,Product Name,Product ID,Segment,Customer Name,Customer ID,Region,Period
975.92,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",FUR-CH-10000454,Corporate,Thomas Boland,TB-21175,South,2018-11-01 - 2018-11-30
5.32,Letter or Legal Size Expandable Poly String Tie Envelopes,OFF-EN-10004846,Corporate,Thomas Boland,TB-21175,South,2018-11-01 - 2018-11-30
2249.91,Logitech diNovo Edge Keyboard,TEC-AC-10004145,Corporate,Thomas Boland,TB-21175,South,2018-11-01 - 2018-11-30
59.92,Super Decoflex Portable Personal File,OFF-ST-10001580,Corporate,Thomas Boland,TB-21175,South,2018-11-01 - 2018-11-30
25.02,Document Clip Frames,FUR-FU-10002508,Home Office,Nancy Lomonaco,NL-18310,West,2018-11-01 - 2018-11-30
590.352,GBC Therma-A-Bind 250T Electric Binding System,OFF-BI-10003718,Home Office,Nancy Lomonaco,NL-18310,West,2018-11-01 - 2018-11-30
8.8,Nontoxic Chalk,OFF-AR-10003469,Home Office,Nancy Lomonaco,NL-18310,West,2018-11-01 - 2018-11-30
452.55,Space Solutions Commercial Steel Shelving,OFF-ST-10001511,Home Office,Nancy Lomonaco,NL-18310,West,2018-11-01 - 2018-11-30
5.58,"Super Bands, 12/Pack",OFF-FA-10004838,Home Office,Nancy Lomonaco,NL-18310,West,2018-11-01 - 2018-11-30
76.58,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",OFF-EN-10001335,Home Office,Nancy Lomonaco,NL-18310,West,2018-11-01 - 2018-11-30
155.372,Office Star Flex Back Scooter Chair with White Frame,FUR-CH-10001973,Home Office,Sharelle Roach,SR-20425,East,2018-11-01 - 2018-11-30
486.368,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",FUR-TA-10001086,Consumer,Bruce Geld,BG-11740,West,2018-11-01 - 2018-11-30
14.94,Avery 513,OFF-LA-10001771,Consumer,Daniel Lacy,DL-12925,Central,2018-11-01 - 2018-11-30
52.4,Sterilite Officeware Hinged File Box,OFF-ST-10001325,Consumer,Daniel Lacy,DL-12925,Central,2018-11-01 - 2018-11-30
8.56,Xerox 1971,OFF-PA-10000327,Consumer,Daniel Lacy,DL-12925,Central,2018-11-01 - 2018-11-30
11.673,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",OFF-BI-10000216,Consumer,Darrin Martin,DM-13015,East,2018-11-01 - 2018-11-30
4.086,Avery Self-Adhesive Photo Pockets for Polaroid Photos,OFF-BI-10002982,Consumer,Dave Kipp,DK-13090,South,2018-11-01 - 2018-11-30
959.984,Canon Image Class D660 Copier,TEC-CO-10003236,Consumer,Dave Kipp,DK-13090,South,2018-11-01 - 2018-11-30
55.984,Hunt Boston Vacuum Mount KS Pencil Sharpener,OFF-AR-10004010,Consumer,Dave Kipp,DK-13090,South,2018-11-01 - 2018-11-30
10.688,Xerox 1923,OFF-PA-10002947,Consumer,Dave Kipp,DK-13090,South,2018-11-01 - 2018-11-30
41.37,9-3/4 Diameter Round Wall Clock,FUR-FU-10000629,Consumer,Denise Leinenbach,DL-13330,West,2018-11-01 - 2018-11-30
43.5,HP Standard 104 key PS/2 Keyboard,TEC-AC-10002345,Consumer,Eva Jacobs,EJ-14155,West,2018-11-01 - 2018-11-30
16.272,Strathmore Photo Mount Cards,OFF-PA-10003673,Consumer,Justin MacKendrick,JM-16195,South,2018-11-01 - 2018-11-30
35.88,Xerox 1992,OFF-PA-10003022,Consumer,Paul Gonzalez,PG-18895,West,2018-11-01 - 2018-11-30
40.776,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",TEC-AC-10001553,Consumer,Peter Bühler,PB-19105,East,2018-11-01 - 2018-11-30
361.376,Polycom SoundPoint IP 450 VoIP phone,TEC-PH-10002549,Corporate,Beth Fritzler,BF-11275,South,2018-11-01 - 2018-11-30
15.992,Telescoping Adjustable Floor Lamp,FUR-FU-10001967,Corporate,Don Jones,DJ-13510,South,2018-11-01 - 2018-11-30
18.368,Binder Posts,OFF-BI-10002393,Corporate,Jack O'Briant,JO-15145,West,2018-11-01 - 2018-11-30
12.39,Avery 476,OFF-LA-10004484,Corporate,Julie Creighton,JC-16105,South,2018-11-01 - 2018-11-30
307.136,Global Deluxe Office Fabric Chairs,FUR-CH-10001891,Corporate,Kimberly Carter,KC-16675,West,2018-11-01 - 2018-11-30
139.86,Xerox 191,OFF-PA-10000157,Corporate,Kimberly Carter,KC-16675,West,2018-11-01 - 2018-11-30
26.4,Xerox 1963,OFF-PA-10001215,Corporate,Patrick Jones,PJ-18835,South,2018-11-01 - 2018-11-30
1673.184,Chromcraft Round Conference Tables,FUR-TA-10001095,Home Office,Clay Rozendal,CR-12580,West,2018-11-01 - 2018-11-30
199.75,Microsoft Sculpt Comfort Mouse,TEC-AC-10004469,Home Office,Clay Rozendal,CR-12580,West,2018-11-01 - 2018-11-30
4.928,Avery 481,OFF-LA-10002195,Consumer,Christina Anderson,CA-12265,South,2018-11-01 - 2018-11-30
95.976,Logitech M510 Wireless Mouse,TEC-AC-10000303,Consumer,Christina Anderson,CA-12265,South,2018-11-01 - 2018-11-30
3.564,Storex Dura Pro Binders,OFF-BI-10004364,Consumer,Christina Anderson,CA-12265,South,2018-11-01 - 2018-11-30
143.928,iOttie XL Car Mount,TEC-PH-10000127,Consumer,Christina Anderson,CA-12265,South,2018-11-01 - 2018-11-30
7999.98,Cubify CubeX 3D Printer Triple Head Print,TEC-MA-10004125,Corporate,Grant Thornton,GT-14635,South,2018-11-01 - 2018-11-30
167.44,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",OFF-AP-10002457,Corporate,Grant Thornton,GT-14635,South,2018-11-01 - 2018-11-30
194.352,"Carina 42""Hx23 3/4""W Media Storage Unit",OFF-ST-10002344,Corporate,Henry Goldwyn,HG-14965,East,2018-11-01 - 2018-11-30
70.72,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,TEC-AC-10002323,Corporate,Henry Goldwyn,HG-14965,East,2018-11-01 - 2018-11-30
523.764,Hon 5100 Series Wood Tables,FUR-TA-10004575,Corporate,Kelly Lampkin,KL-16555,South,2018-11-01 - 2018-11-30
1359.96,Motorola Moto X,TEC-PH-10002483,Corporate,Kelly Lampkin,KL-16555,South,2018-11-01 - 2018-11-30
7.536,GBC Standard Plastic Binding Systems' Combs,OFF-BI-10001308,Home Office,Frank Merwin,FM-14290,Central,2018-11-01 - 2018-11-30
52.752,Rogers Deluxe File Chest,OFF-ST-10002485,Home Office,Frank Merwin,FM-14290,Central,2018-11-01 - 2018-11-30
1.408,Self-Adhesive Ring Binder Labels,OFF-BI-10003094,Home Office,Frank Merwin,FM-14290,Central,2018-11-01 - 2018-11-30
4.144,Wilson Jones Impact Binders,OFF-BI-10004040,Home Office,Frank Merwin,FM-14290,Central,2018-11-01 - 2018-11-30
9.664,"Adams Telephone Message Books, 5 1/4” x 11”",OFF-PA-10001560,Home Office,James Lanier,JL-15175,South,2018-11-01 - 2018-11-30
4.3,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",OFF-AR-10000657,Home Office,Katherine Murray,KM-16375,South,2018-11-01 - 2018-11-30
23.68,Alphabetical Labels for Top Tab Filing,OFF-LA-10003923,Home Office,Sam Zeldin,SZ-20035,Central,2018-11-01 - 2018-11-30
12.96,Xerox 1996,OFF-PA-10003172,Consumer,Anna Andreadi,AA-10645,West,2018-11-01 - 2018-11-30
99.98,Anker Astro 15000mAh USB Portable Charger,TEC-PH-10001448,Consumer,Christina DeMoss,CD-12280,East,2018-11-01 - 2018-11-30
11.424,Avery Premier Heavy-Duty Binder with Round Locking Rings,OFF-BI-10002706,Consumer,Christina DeMoss,CD-12280,East,2018-11-01 - 2018-11-30
166.5,Balt Split Level Computer Training Table,FUR-TA-10003469,Consumer,Christina DeMoss,CD-12280,East,2018-11-01 - 2018-11-30
101.4,"Career Cubicle Clock, 8 1/4"", Black",FUR-FU-10004245,Consumer,Christina DeMoss,CD-12280,East,2018-11-01 - 2018-11-30
110.96,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",OFF-PA-10004071,Consumer,Christina DeMoss,CD-12280,East,2018-11-01 - 2018-11-30
164.688,GBC Prestige Therm-A-Bind Covers,OFF-BI-10002735,Consumer,Christina DeMoss,CD-12280,East,2018-11-01 - 2018-11-30
128.124,Harbour Creations 67200 Series Stacking Chairs,FUR-CH-10004875,Consumer,Christina DeMoss,CD-12280,East,2018-11-01 - 2018-11-30
12.96,Xerox 202,OFF-PA-10001870,Consumer,Christina DeMoss,CD-12280,East,2018-11-01 - 2018-11-30
390.75,Enermax Aurora Lite Keyboard,TEC-AC-10001432,Consumer,Susan Vittorini,SV-20935,East,2018-11-01 - 2018-11-30
2.388,"Avery Durable Slant Ring Binders, No Labels",OFF-BI-10003274,Consumer,Troy Staebel,TS-21610,West,2018-11-01 - 2018-11-30
243.992,"Trav-L-File Heavy-Duty Shuttle II, Black",OFF-ST-10002974,Consumer,Troy Staebel,TS-21610,West,2018-11-01 - 2018-11-30
16.03,Avery Recycled Flexi-View Covers for Binding Systems,OFF-BI-10000474,Corporate,Alan Haines,AH-10195,Central,2018-11-01 - 2018-11-30
492.768,Nortel Meridian M3904 Professional Digital phone,TEC-PH-10003012,Corporate,Elizabeth Moffitt,EM-13825,Central,2018-11-01 - 2018-11-30
159.99,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,TEC-AC-10003911,Corporate,Ruben Ausman,RA-19885,West,2018-11-01 - 2018-11-30
4.41,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",OFF-PA-10002615,Home Office,Adam Bellavance,AB-10060,Central,2018-11-01 - 2018-11-30
167.94,Easy-staple paper,OFF-PA-10000565,Home Office,Adam Bellavance,AB-10060,Central,2018-11-01 - 2018-11-30
67.8,Strathmore Photo Mount Cards,OFF-PA-10003673,Home Office,Adam Bellavance,AB-10060,Central,2018-11-01 - 2018-11-30
318.96,Xerox 1906,OFF-PA-10003302,Consumer,Carol Darley,CD-11980,East,2018-11-01 - 2018-11-30
1.248,Zipper Ring Binder Pockets,OFF-BI-10000145,Consumer,Christopher Conant,CC-12370,Central,2018-11-01 - 2018-11-30
18.16,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",OFF-ST-10000615,Consumer,Harry Greene,HG-14845,Central,2018-11-01 - 2018-11-30
499.584,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",OFF-AP-10002118,Consumer,Jill Fjeld,JF-15565,South,2018-11-01 - 2018-11-30
13.272,Avery Durable Poly Binders,OFF-BI-10002827,Consumer,Jill Fjeld,JF-15565,South,2018-11-01 - 2018-11-30
259.136,Carina Double Wide Media Storage Towers in Natural & Black,OFF-ST-10000736,Consumer,Jill Fjeld,JF-15565,South,2018-11-01 - 2018-11-30
28.272,"Executive Impressions 12"" Wall Clock",FUR-FU-10004671,Consumer,Jill Fjeld,JF-15565,South,2018-11-01 - 2018-11-30
31.104,Xerox 220,OFF-PA-10001800,Consumer,Jill Fjeld,JF-15565,South,2018-11-01 - 2018-11-30
30.56,"Linden 10"" Round Wall Clock, Black",FUR-FU-10003878,Consumer,Liz Carlisle,LC-17050,Central,2018-11-01 - 2018-11-30
127.372,"Global Wood Trimmed Manager's Task Chair, Khaki",FUR-CH-10003774,Consumer,Maris LaWare,ML-17410,East,2018-11-01 - 2018-11-30
47.952,Xerox 191,OFF-PA-10000157,Consumer,Maris LaWare,ML-17410,East,2018-11-01 - 2018-11-30
15.28,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",OFF-EN-10001219,Consumer,Zuschuss Carroll,ZC-21910,West,2018-11-01 - 2018-11-30
8.73,Dax Clear Box Frame,FUR-FU-10001424,Consumer,Zuschuss Carroll,ZC-21910,West,2018-11-01 - 2018-11-30
5.68,SANFORD Liquid Accent Tank-Style Highlighters,OFF-AR-10001022,Consumer,Zuschuss Carroll,ZC-21910,West,2018-11-01 - 2018-11-30
5.78,Xerox 1987,OFF-PA-10003845,Corporate,Victoria Brennan,VB-21745,South,2018-11-01 - 2018-11-30
449.568,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,FUR-CH-10003312,Home Office,Adam Bellavance,AB-10060,West,2018-11-01 - 2018-11-30
2036.86,Hon 5100 Series Wood Tables,FUR-TA-10004575,Home Office,Adam Bellavance,AB-10060,West,2018-11-01 - 2018-11-30
108.96,SanDisk Cruzer 64 GB USB Flash Drive,TEC-AC-10001465,Home Office,Adam Bellavance,AB-10060,West,2018-11-01 - 2018-11-30
26.38,Easy-staple paper,OFF-PA-10003127,Home Office,Chuck Clark,CC-12430,Central,2018-11-01 - 2018-11-30
13.9,Newell 339,OFF-AR-10001216,Home Office,Chuck Clark,CC-12430,Central,2018-11-01 - 2018-11-30
26.4,Astroparche Fine Business Paper,OFF-PA-10000143,Home Office,Frank Merwin,FM-14290,West,2018-11-01 - 2018-11-30
41.4,Avery 503,OFF-LA-10000414,Home Office,Frank Merwin,FM-14290,West,2018-11-01 - 2018-11-30
45.36,Easy-staple paper,OFF-PA-10002764,Home Office,Frank Merwin,FM-14290,West,2018-11-01 - 2018-11-30
16.95,Kingston Digital DataTraveler 32GB USB 2.0,TEC-AC-10003441,Home Office,Frank Merwin,FM-14290,West,2018-11-01 - 2018-11-30
59.94,Xerox 191,OFF-PA-10000157,Home Office,Frank Merwin,FM-14290,West,2018-11-01 - 2018-11-30
5.682,Flexible Leather- Look Classic Collection Ring Binder,OFF-BI-10004738,Home Office,Roger Barcio,RB-19705,West,2018-11-01 - 2018-11-30
46.26,Decoflex Hanging Personal Folder File,OFF-ST-10001414,Home Office,Valerie Mitchum,VM-21685,East,2018-11-01 - 2018-11-30
350.352,Bevis Rectangular Conference Tables,FUR-TA-10000849,Consumer,Emily Phan,EP-13915,East,2018-11-01 - 2018-11-30
359.97,Jabra Supreme Plus Driver Edition Headset,TEC-PH-10003811,Consumer,Emily Phan,EP-13915,East,2018-11-01 - 2018-11-30
38.16,Storex DuraTech Recycled Plastic Frosted Binders,OFF-BI-10000756,Consumer,Erin Creighton,EC-14050,Central,2018-11-01 - 2018-11-30
7.88,Maxell CD-R Discs,TEC-AC-10002370,Consumer,Frank Preis,FP-14320,East,2018-11-01 - 2018-11-30
100.94,Holmes Odor Grabber,OFF-AP-10000696,Consumer,Pete Kriz,PK-19075,East,2018-11-01 - 2018-11-30
21.792,Avery Self-Adhesive Photo Pockets for Polaroid Photos,OFF-BI-10002982,Consumer,Tony Sayre,TS-21505,West,2018-11-01 - 2018-11-30
439.8,Plantronics Audio 995 Wireless Stereo Headset,TEC-AC-10004975,Consumer,Tony Sayre,TS-21505,West,2018-11-01 - 2018-11-30
272.97,Global Highback Leather Tilter in Burgundy,FUR-CH-10000422,Corporate,Katherine Nockton,KN-16390,East,2018-11-01 - 2018-11-30
59.97,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,TEC-AC-10003289,Home Office,Deborah Brumfield,DB-13270,West,2018-11-01 - 2018-11-30
761.544,"Plantronics CS 50-USB - headset - Convertible, Monaural",TEC-PH-10002468,Home Office,Deborah Brumfield,DB-13270,West,2018-11-01 - 2018-11-30
274.2,Howard Miller Distant Time Traveler Alarm Clock,FUR-FU-10003535,Corporate,Kean Nguyen,KN-16450,East,2018-11-01 - 2018-11-30
109.9,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,OFF-AR-10002818,Home Office,Sharelle Roach,SR-20425,East,2018-11-01 - 2018-11-30
47.12,Eldon Wave Desk Accessories,FUR-FU-10000023,Consumer,Joel Eaton,JE-15745,West,2018-11-01 - 2018-11-30
2177.52,Adjustable Depth Letter/Legal Cart,OFF-ST-10003208,Corporate,Brian Moss,BM-11650,East,2018-11-01 - 2018-11-30
826.62,Maxell iVDR EX 500GB Cartridge,TEC-AC-10004666,Corporate,Brian Moss,BM-11650,East,2018-11-01 - 2018-11-30
9.64,Wilson Jones Turn Tabs Binder Tool for Ring Binders,OFF-BI-10004728,Corporate,Brian Moss,BM-11650,East,2018-11-01 - 2018-11-30
215.976,"Global Leather Task Chair, Black",FUR-CH-10003061,Corporate,Jennifer Braxton,JB-15400,West,2018-11-01 - 2018-11-30
523.392,"Lifetime Advantage Folding Chairs, 4/Carton",FUR-CH-10004675,Corporate,Jim Epp,JE-15610,West,2018-11-01 - 2018-11-30
99.99,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,TEC-AC-10004171,Corporate,Matt Collister,MC-17590,West,2018-11-01 - 2018-11-30
63.56,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",OFF-ST-10002289,Corporate,Matt Collister,MC-17590,West,2018-11-01 - 2018-11-30
96.53,9-3/4 Diameter Round Wall Clock,FUR-FU-10000629,Home Office,Parhena Norris,PN-18775,East,2018-11-01 - 2018-11-30
191.976,Logitech G602 Wireless Gaming Mouse,TEC-AC-10002567,Home Office,Peter McVee,PM-19135,South,2018-11-01 - 2018-11-30
499.168,Motorola L703CM,TEC-PH-10004094,Home Office,Peter McVee,PM-19135,South,2018-11-01 - 2018-11-30
111.79,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,TEC-AC-10001772,Consumer,Gary Hwang,GH-14425,West,2018-11-01 - 2018-11-30
400.8,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",OFF-AP-10004540,Consumer,Michael Chen,MC-17845,West,2018-11-01 - 2018-11-30
28.792,GBC VeloBinder Manual Binding System,OFF-BI-10001543,Consumer,Michael Chen,MC-17845,West,2018-11-01 - 2018-11-30
201.584,Adtran 1202752G1,TEC-PH-10002563,Corporate,Ann Blume,AB-10600,West,2018-11-01 - 2018-11-30
38.388,Cardinal EasyOpen D-Ring Binders,OFF-BI-10001036,Corporate,Ann Blume,AB-10600,West,2018-11-01 - 2018-11-30
239.952,Case Logic 2.4GHz Wireless Keyboard,TEC-AC-10001314,Corporate,Ann Blume,AB-10600,West,2018-11-01 - 2018-11-30
95.994,DYMO CardScan Personal V9 Business Card Scanner,TEC-MA-10003183,Corporate,Ann Blume,AB-10600,West,2018-11-01 - 2018-11-30
899.136,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,FUR-CH-10003312,Corporate,Ann Blume,AB-10600,West,2018-11-01 - 2018-11-30
341.96,Tenex Antistatic Computer Chair Mats,FUR-FU-10001468,Corporate,Edward Becker,EB-13750,Central,2018-11-01 - 2018-11-30
931.176,Fellowes PB300 Plastic Comb Binding Machine,OFF-BI-10003925,Corporate,Frank Hawley,FH-14275,East,2018-11-01 - 2018-11-30
430.88,Samsung Galaxy Note 2,TEC-PH-10002200,Corporate,Frank Hawley,FH-14275,East,2018-11-01 - 2018-11-30
26.352,GBC Imprintable Covers,OFF-BI-10000088,Corporate,Nick Crebassa,NC-18535,West,2018-11-01 - 2018-11-30
11.52,GBC VeloBinder Strips,OFF-BI-10004099,Home Office,Daniel Raglin,DR-12940,South,2018-11-01 - 2018-11-30
241.424,"Global Leather & Oak Executive Chair, Burgundy",FUR-CH-10001714,Home Office,Maria Etezadi,ME-17320,West,2018-11-01 - 2018-11-30
7.8,12 Colored Short Pencils,OFF-AR-10002221,Home Office,Thomas Brumley,TB-21190,West,2018-11-01 - 2018-11-30
181.86,Boston 1799 Powerhouse Electric Pencil Sharpener,OFF-AR-10004260,Consumer,Emily Phan,EP-13915,Central,2018-11-01 - 2018-11-30
10.89,Belkin 6 Outlet Metallic Surge Strip,OFF-AP-10003971,Consumer,Guy Armstrong,GA-14725,West,2018-11-01 - 2018-11-30
121.6,Ibico Plastic Spiral Binding Combs,OFF-BI-10000977,Consumer,Guy Armstrong,GA-14725,West,2018-11-01 - 2018-11-30
19.44,Xerox 201,OFF-PA-10000520,Consumer,Guy Armstrong,GA-14725,West,2018-11-01 - 2018-11-30
25.5,Acme Titanium Bonded Scissors,OFF-SU-10004661,Consumer,Jeremy Lonsdale,JL-15505,Central,2018-11-01 - 2018-11-30
35.48,Belkin OmniView SE Rackmount Kit,OFF-ST-10003324,Consumer,Meg Tillman,MT-17815,East,2018-11-01 - 2018-11-30
88.92,"Executive Impressions 14"" Contract Wall Clock",FUR-FU-10004090,Consumer,Michelle Huthwaite,MH-18025,South,2018-11-01 - 2018-11-30
35.184,OtterBox Commuter Series Case - iPhone 5 & 5s,TEC-PH-10004531,Consumer,Patrick Gardner,PG-18820,Central,2018-11-01 - 2018-11-30
18.336,Deluxe Heavy-Duty Vinyl Round Ring Binder,OFF-BI-10001510,Consumer,Tamara Dahlen,TD-20995,Central,2018-11-01 - 2018-11-30
10.44,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,OFF-LA-10001045,Consumer,Tamara Dahlen,TD-20995,Central,2018-11-01 - 2018-11-30
45.92,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",OFF-FA-10004854,Consumer,William Brown,WB-21850,Central,2018-11-01 - 2018-11-30
1158.12,Hoover Upright Vacuum With Dirt Cup,OFF-AP-10002651,Corporate,Brenda Bowman,BB-11545,South,2018-11-01 - 2018-11-30
18.24,Prestige Round Ring Binders,OFF-BI-10002949,Home Office,Catherine Glotzbach,CG-12040,Central,2018-11-01 - 2018-11-30
10.368,Xerox 222,OFF-PA-10004451,Home Office,Max Ludwig,ML-17755,East,2018-11-01 - 2018-11-30
34.92,Dax Clear Box Frame,FUR-FU-10001424,Home Office,Thomas Brumley,TB-21190,West,2018-11-01 - 2018-11-30
27.93,Acme Forged Steel Scissors with Black Enamel Handles,OFF-SU-10000381,Consumer,Christine Sundaresam,CS-12355,West,2018-11-01 - 2018-11-30
9.96,Avery 483,OFF-LA-10004853,Consumer,Christine Sundaresam,CS-12355,West,2018-11-01 - 2018-11-30
9.21,"Dixon Ticonderoga Maple Cedar Pencil, #2",OFF-AR-10000315,Consumer,Christine Sundaresam,CS-12355,West,2018-11-01 - 2018-11-30
221.024,"SAFCO Commercial Wire Shelving, Black",OFF-ST-10002574,Consumer,Dennis Kane,DK-13375,East,2018-11-01 - 2018-11-30
11.56,Xerox 1899,OFF-PA-10001846,Consumer,Emily Phan,EP-13915,West,2018-11-01 - 2018-11-30
26.72,Xerox 1968,OFF-PA-10003651,Consumer,Larry Blacks,LB-16735,South,2018-11-01 - 2018-11-30
76.12,Fellowes Superior 10 Outlet Split Surge Protector,OFF-AP-10004708,Consumer,Maria Bertelson,MB-17305,West,2018-11-01 - 2018-11-30
18.24,Staples,OFF-FA-10003495,Consumer,Maria Bertelson,MB-17305,West,2018-11-01 - 2018-11-30
540.048,Tennsco Double-Tier Lockers,OFF-ST-10003716,Consumer,Nathan Gelder,NG-18430,Central,2018-11-01 - 2018-11-30
16.056,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",OFF-PA-10002749,Consumer,Nathan Gelder,NG-18430,Central,2018-11-01 - 2018-11-30
223.056,Xerox 197,OFF-PA-10003823,Consumer,Nathan Gelder,NG-18430,Central,2018-11-01 - 2018-11-30
10.56,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),OFF-PA-10002479,Corporate,David Bremer,DB-13120,West,2018-11-01 - 2018-11-30
62.352,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,TEC-AC-10004227,Corporate,Don Jones,DJ-13510,West,2018-11-01 - 2018-11-30
15.92,"Avery Durable Slant Ring Binders, No Labels",OFF-BI-10003274,Corporate,Ed Braxton,EB-13705,East,2018-11-01 - 2018-11-30
14.016,Acco 3-Hole Punch,OFF-BI-10003460,Corporate,Jim Epp,JE-15610,West,2018-11-01 - 2018-11-30
370.782,Jabra SPEAK 410 Multidevice Speakerphone,TEC-PH-10002824,Corporate,Nat Gilpin,NG-18355,East,2018-11-01 - 2018-11-30
10.848,Strathmore Photo Mount Cards,OFF-PA-10003673,Corporate,Sylvia Foulston,SF-20965,East,2018-11-01 - 2018-11-30
18.544,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",TEC-AC-10003614,Corporate,Sylvia Foulston,SF-20965,East,2018-11-01 - 2018-11-30
7.92,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,TEC-PH-10000347,Home Office,Eugene Moren,EM-14140,West,2018-11-01 - 2018-11-30
113.888,Harbour Creations 67200 Series Stacking Chairs,FUR-CH-10004875,Home Office,Eugene Moren,EM-14140,West,2018-11-01 - 2018-11-30
41.6,Memorex Micro Travel Drive 8 GB,TEC-AC-10001266,Home Office,Eugene Moren,EM-14140,West,2018-11-01 - 2018-11-30
671.984,Samsung Galaxy Mega 6.3,TEC-PH-10001459,Home Office,Eugene Moren,EM-14140,West,2018-11-01 - 2018-11-30
113.568,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",FUR-FU-10000305,Home Office,Eugene Moren,EM-14140,West,2018-11-01 - 2018-11-30
