Total Sales,Segment,Customer Name,Customer ID,Period
1816.3600000000001,Consumer,Jeremy Pistek,JP-15520,2018-12-03 - 2018-12-17
3955.5070000000005,Consumer,Keith Herrera,KH-16510,2018-12-03 - 2018-12-17
218.81,Consumer,Luke Foster,LF-17185,2018-12-03 - 2018-12-17
97.236,Consumer,Max Jones,MJ-17740,2018-12-03 - 2018-12-17
69.48,Corporate,Alan Schoenberger,AS-10225,2018-12-03 - 2018-12-17
243.584,Corporate,Denise Monton,DM-13345,2018-12-03 - 2018-12-17
592.74,Home Office,Carl Weiss,CW-11905,2018-12-03 - 2018-12-17
15.984,Consumer,Angele Hood,AH-10585,2018-12-03 - 2018-12-17
188.23999999999998,Consumer,Dean Braden,DB-13210,2018-12-03 - 2018-12-17
43.85,Consumer,Herbert Flentye,HF-14995,2018-12-03 - 2018-12-17
1827.51,Consumer,John Lee,JL-15835,2018-12-03 - 2018-12-17
444.768,Consumer,Laurel Elliston,LE-16810,2018-12-03 - 2018-12-17
143.856,Consumer,Lena Hernandez,LH-16900,2018-12-03 - 2018-12-17
54.9,Consumer,Luke Weiss,LW-17215,2018-12-03 - 2018-12-17
11.088,Consumer,Roger Demir,RD-19720,2018-12-03 - 2018-12-17
590.0840000000001,Corporate,Christine Abelman,CA-12310,2018-12-03 - 2018-12-17
927.44,Corporate,Damala Kotsonis,DK-12835,2018-12-03 - 2018-12-17
422.85799999999995,Corporate,Kalyca Meade,KM-16225,2018-12-03 - 2018-12-17
38.196,Corporate,Ken Brennan,KB-16600,2018-12-03 - 2018-12-17
432.405,Corporate,Nick Crebassa,NC-18535,2018-12-03 - 2018-12-17
1096.4879999999998,Home Office,Alyssa Tate,AT-10435,2018-12-03 - 2018-12-17
148.257,Home Office,Daniel Byrd,DB-12910,2018-12-03 - 2018-12-17
108.80000000000001,Consumer,Alex Grayson,AG-10330,2018-12-03 - 2018-12-17
321.248,Consumer,Anthony Witt,AW-10840,2018-12-03 - 2018-12-17
19.104,Consumer,Brian Thompson,BT-11680,2018-12-03 - 2018-12-17
437.65000000000003,Consumer,Chris Cortes,CC-12220,2018-12-03 - 2018-12-17
14.2,Consumer,Helen Andreada,HA-14920,2018-12-03 - 2018-12-17
1669.6,Consumer,Michael Chen,MC-17845,2018-12-03 - 2018-12-17
91.193,Consumer,William Brown,WB-21850,2018-12-03 - 2018-12-17
477.724,Corporate,Ben Peterman,BP-11185,2018-12-03 - 2018-12-17
14.76,Corporate,Justin Ellison,JE-16165,2018-12-03 - 2018-12-17
34.5,Home Office,Lindsay Shagiari,LS-16975,2018-12-03 - 2018-12-17
684.7800000000001,Home Office,Stephanie Ulpright,SU-20665,2018-12-03 - 2018-12-17
149.872,Consumer,Allen Armold,AA-10375,2018-12-03 - 2018-12-17
568.586,Consumer,Arianne Irving,AI-10855,2018-12-03 - 2018-12-17
1.392,Consumer,Dennis Kane,DK-13375,2018-12-03 - 2018-12-17
63.339999999999996,Consumer,Mike Vittorini,MV-18190,2018-12-03 - 2018-12-17
608.552,Consumer,Ralph Ritter,RR-19315,2018-12-03 - 2018-12-17
116.312,Corporate,Alejandro Savely,AS-10285,2018-12-03 - 2018-12-17
128.85,Corporate,Katherine Nockton,KN-16390,2018-12-03 - 2018-12-17
6.54,Corporate,Nona Balk,NB-18655,2018-12-03 - 2018-12-17
12.68,Home Office,Roy Skaria,RS-19870,2018-12-03 - 2018-12-17
261.52,Consumer,Emily Phan,EP-13915,2018-12-03 - 2018-12-17
31.44,Consumer,Mitch Webber,MW-18220,2018-12-03 - 2018-12-17
287.976,Corporate,Bart Pistole,BP-11095,2018-12-03 - 2018-12-17
457.17599999999993,Consumer,Dave Brooks,DB-13060,2018-12-03 - 2018-12-17
974.988,Consumer,Lena Creighton,LC-16885,2018-12-03 - 2018-12-17
204.55,Corporate,Kelly Lampkin,KL-16555,2018-12-03 - 2018-12-17
1843.402,Home Office,Ben Ferrer,BF-11170,2018-12-03 - 2018-12-17
282.688,Home Office,Gary Mitchum,GM-14455,2018-12-03 - 2018-12-17
134.91,Home Office,Mike Pelletier,MP-18175,2018-12-03 - 2018-12-17
273.92600000000004,Consumer,Khloe Miller,KM-16660,2018-12-03 - 2018-12-17
10.192,Corporate,Saphhira Shifley,SS-20140,2018-12-03 - 2018-12-17
22.77,Home Office,Paul Lucas,PL-18925,2018-12-03 - 2018-12-17
10.8,Consumer,Andrew Roberts,AR-10510,2018-12-03 - 2018-12-17
222.032,Corporate,Andy Yotov,AY-10555,2018-12-03 - 2018-12-17
172.26,Home Office,Rick Bensley,RB-19465,2018-12-03 - 2018-12-17
33.376,Home Office,Ross DeVincentis,RD-19810,2018-12-03 - 2018-12-17
315.896,Consumer,Annie Thurman,AT-10735,2018-12-03 - 2018-12-17
544.38,Consumer,Giulietta Baptist,GB-14575,2018-12-03 - 2018-12-17
94.754,Consumer,Logan Currie,LC-17140,2018-12-03 - 2018-12-17
32.56,Corporate,Dave Poirier,DP-13105,2018-12-03 - 2018-12-17
11.808,Home Office,Hallie Redmond,HR-14770,2018-12-03 - 2018-12-17
28.16,Home Office,Vicky Freymann,VF-21715,2018-12-03 - 2018-12-17
