Total Sales,Product Name,Product ID,Segment,Customer Name,Customer ID,Period
34.5,Ibico Covers for Plastic or Wire Binding Elements,OFF-BI-10004965,Home Office,Lindsay Shagiari,LS-16975,2018-12-10 - 2018-12-17
45.84,Avery Metallic Poly Binders,OFF-BI-10003476,Home Office,Stephanie Ulpright,SU-20665,2018-12-10 - 2018-12-17
38.97,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,TEC-PH-10000148,Home Office,Stephanie Ulpright,SU-20665,2018-12-10 - 2018-12-17
599.97,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,TEC-AC-10001838,Home Office,Stephanie Ulpright,SU-20665,2018-12-10 - 2018-12-17
14.95,Clear Mylar Reinforcing Strips,OFF-BI-10002498,Consumer,Allen Armold,AA-10375,2018-12-10 - 2018-12-17
116.98,Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,TEC-PH-10004522,Consumer,Allen Armold,AA-10375,2018-12-10 - 2018-12-17
17.94,Xerox 1895,OFF-PA-10002245,Consumer,Allen Armold,AA-10375,2018-12-10 - 2018-12-17
63.69,"Leather Task Chair, Black",FUR-CH-10002961,Consumer,Arianne Irving,AI-10855,2018-12-10 - 2018-12-17
1.39,Hoover Commercial Lightweight Upright Vacuum,OFF-AP-10001634,Consumer,Dennis Kane,DK-13375,2018-12-10 - 2018-12-17
23.36,"Angle-D Binders with Locking Rings, Label Holders",OFF-BI-10000050,Consumer,Mike Vittorini,MV-18190,2018-12-10 - 2018-12-17
39.98,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,TEC-AC-10001998,Consumer,Mike Vittorini,MV-18190,2018-12-10 - 2018-12-17
77.72,Electrix Halogen Magnifier Lamp,FUR-FU-10004306,Consumer,Ralph Ritter,RR-19315,2018-12-10 - 2018-12-17
520.46,GuestStacker Chair with Chrome Finish Legs,FUR-CH-10003973,Consumer,Ralph Ritter,RR-19315,2018-12-10 - 2018-12-17
10.37,Xerox 21,OFF-PA-10001937,Consumer,Ralph Ritter,RR-19315,2018-12-10 - 2018-12-17
116.31,Enermax Briskie RF Wireless Keyboard and Mouse Combo,TEC-AC-10001284,Corporate,Alejandro Savely,AS-10285,2018-12-10 - 2018-12-17
721.88,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,FUR-TA-10004289,Corporate,Darrin Van Huff,DV-13045,2018-12-10 - 2018-12-17
64.78,"Global Geo Office Task Chair, Gray",FUR-CH-10000225,Corporate,Darrin Van Huff,DV-13045,2018-12-10 - 2018-12-17
73.57,Motorola HK250 Universal Bluetooth Headset,TEC-PH-10003555,Corporate,Darrin Van Huff,DV-13045,2018-12-10 - 2018-12-17
13.58,Stanley Bostitch Contemporary Electric Pencil Sharpeners,OFF-AR-10001958,Corporate,Darrin Van Huff,DV-13045,2018-12-10 - 2018-12-17
128.85,Plantronics MX500i Earset,TEC-PH-10001527,Corporate,Katherine Nockton,KN-16390,2018-12-10 - 2018-12-17
6.54,Stockwell Push Pins,OFF-FA-10001561,Corporate,Nona Balk,NB-18655,2018-12-10 - 2018-12-17
7.28,Pastel Pink Envelopes,OFF-EN-10003160,Home Office,Roy Skaria,RS-19870,2018-12-10 - 2018-12-17
5.4,Wilson Jones Easy Flow II Sheet Lifters,OFF-BI-10002012,Home Office,Roy Skaria,RS-19870,2018-12-10 - 2018-12-17
8.64,Avery 49,OFF-LA-10004559,Consumer,Emily Phan,EP-13915,2018-12-10 - 2018-12-17
201.04,DAX Wood Document Frame,FUR-FU-10001473,Consumer,Emily Phan,EP-13915,2018-12-10 - 2018-12-17
12.96,Xerox 1975,OFF-PA-10000232,Consumer,Emily Phan,EP-13915,2018-12-10 - 2018-12-17
38.88,Xerox 1996,OFF-PA-10003172,Consumer,Emily Phan,EP-13915,2018-12-10 - 2018-12-17
31.44,Sterilite Officeware Hinged File Box,OFF-ST-10001325,Consumer,Mitch Webber,MW-18220,2018-12-10 - 2018-12-17
287.98,"Bush Andora Bookcase, Maple/Graphite Gray Finish",FUR-BO-10004015,Corporate,Bart Pistole,BP-11095,2018-12-10 - 2018-12-17
56.33,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",FUR-FU-10004091,Consumer,Dave Brooks,DB-13060,2018-12-10 - 2018-12-17
39.26,Logitech Desktop MK120 Mouse and keyboard Combo,TEC-AC-10004510,Consumer,Dave Brooks,DB-13060,2018-12-10 - 2018-12-17
95.23,Prismacolor Color Pencil Set,OFF-AR-10002987,Consumer,Dave Brooks,DB-13060,2018-12-10 - 2018-12-17
266.35,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",FUR-FU-10002298,Consumer,Dave Brooks,DB-13060,2018-12-10 - 2018-12-17
974.99,Bretford CR4500 Series Slim Rectangular Table,FUR-TA-10000577,Consumer,Lena Creighton,LC-16885,2018-12-10 - 2018-12-17
44.75,Kingston Digital DataTraveler 16GB USB 2.0,TEC-AC-10003038,Corporate,Kelly Lampkin,KL-16555,2018-12-10 - 2018-12-17
159.8,Microsoft Sculpt Comfort Mouse,TEC-AC-10004469,Corporate,Kelly Lampkin,KL-16555,2018-12-10 - 2018-12-17
17.28,"Acco Banker's Clasps, 5 3/4""-Long",OFF-FA-10001332,Home Office,Ben Ferrer,BF-11170,2018-12-10 - 2018-12-17
25.71,Acme Office Executive Series Stainless Steel Trimmers,OFF-SU-10001664,Home Office,Ben Ferrer,BF-11170,2018-12-10 - 2018-12-17
526.58,Bretford Rectangular Conference Table Tops,FUR-TA-10003473,Home Office,Ben Ferrer,BF-11170,2018-12-10 - 2018-12-17
1199.98,Canon PC1080F Personal Copier,TEC-CO-10002313,Home Office,Ben Ferrer,BF-11170,2018-12-10 - 2018-12-17
73.85,Safco Industrial Shelving,OFF-ST-10002790,Home Office,Ben Ferrer,BF-11170,2018-12-10 - 2018-12-17
227.98,Kensington Expert Mouse Optical USB Trackball for PC or Mac,TEC-AC-10000474,Home Office,Gary Mitchum,GM-14455,2018-12-10 - 2018-12-17
2.03,"Master Caster Door Stop, Gray",FUR-FU-10002963,Home Office,Gary Mitchum,GM-14455,2018-12-10 - 2018-12-17
52.68,Samsung HM1900 Bluetooth Headset,TEC-PH-10003095,Home Office,Gary Mitchum,GM-14455,2018-12-10 - 2018-12-17
43.7,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",OFF-EN-10000461,Home Office,Mike Pelletier,MP-18175,2018-12-10 - 2018-12-17
26.25,"Eldon 400 Class Desk Accessories, Black Carbon",FUR-FU-10004963,Home Office,Mike Pelletier,MP-18175,2018-12-10 - 2018-12-17
64.96,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",OFF-BI-10000174,Home Office,Mike Pelletier,MP-18175,2018-12-10 - 2018-12-17
54.32,Hoover Commercial SteamVac,OFF-AP-10000027,Consumer,Khloe Miller,KM-16660,2018-12-10 - 2018-12-17
196.78,Panasonic KX TS3282B Corded phone,TEC-PH-10000675,Consumer,Khloe Miller,KM-16660,2018-12-10 - 2018-12-17
22.83,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",OFF-PA-10004569,Consumer,Khloe Miller,KM-16660,2018-12-10 - 2018-12-17
10.19,Newell 307,OFF-AR-10000823,Corporate,Saphhira Shifley,SS-20140,2018-12-10 - 2018-12-17
22.77,"Master Giant Foot Doorstop, Safety Yellow",FUR-FU-10003096,Home Office,Paul Lucas,PL-18925,2018-12-10 - 2018-12-17
10.8,Peel & Stick Add-On Corner Pockets,OFF-BI-10004656,Consumer,Andrew Roberts,AR-10510,2018-12-10 - 2018-12-17
18.96,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",FUR-FU-10002445,Corporate,Andy Yotov,AY-10555,2018-12-10 - 2018-12-17
81.57,"Global Deluxe Stacking Chair, Gray",FUR-CH-10002774,Corporate,Andy Yotov,AY-10555,2018-12-10 - 2018-12-17
97.18,"Global Value Steno Chair, Gray",FUR-CH-10003817,Corporate,Andy Yotov,AY-10555,2018-12-10 - 2018-12-17
24.32,Prestige Round Ring Binders,OFF-BI-10002949,Corporate,Andy Yotov,AY-10555,2018-12-10 - 2018-12-17
5.98,Accohide Poly Flexible Ring Binders,OFF-BI-10003196,Corporate,Kalyca Meade,KM-16225,2018-12-10 - 2018-12-17
44.4,Avery 475,OFF-LA-10003498,Corporate,Kalyca Meade,KM-16225,2018-12-10 - 2018-12-17
29.95,Bulldog Table or Wall-Mount Pencil Sharpener,OFF-AR-10001988,Corporate,Kalyca Meade,KM-16225,2018-12-10 - 2018-12-17
189.95,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,TEC-AC-10000358,Corporate,Kalyca Meade,KM-16225,2018-12-10 - 2018-12-17
149.95,Microsoft Natural Ergonomic Keyboard 4000,TEC-AC-10000057,Corporate,Kalyca Meade,KM-16225,2018-12-10 - 2018-12-17
158.9,"Safco Wire Cube Shelving System, For Use as 4 or 5 14"" Cubes, Black",OFF-ST-10002289,Home Office,Rick Bensley,RB-19465,2018-12-10 - 2018-12-17
13.36,Xerox 1898,OFF-PA-10002986,Home Office,Rick Bensley,RB-19465,2018-12-10 - 2018-12-17
33.38,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",OFF-BI-10001628,Home Office,Ross DeVincentis,RD-19810,2018-12-10 - 2018-12-17
124.36,Deflect-o Glass Clear Studded Chair Mats,FUR-FU-10000308,Consumer,Annie Thurman,AT-10735,2018-12-10 - 2018-12-17
24.82,GBC Wire Binding Combs,OFF-BI-10001617,Consumer,Annie Thurman,AT-10735,2018-12-10 - 2018-12-17
166.72,Safco Steel Mobile File Cart,OFF-ST-10002276,Consumer,Annie Thurman,AT-10735,2018-12-10 - 2018-12-17
504.9,Hon Valutask Swivel Chairs,FUR-CH-10003846,Consumer,Arianne Irving,AI-10855,2018-12-10 - 2018-12-17
544.38,Adjustable Depth Letter/Legal Cart,OFF-ST-10003208,Consumer,Giulietta Baptist,GB-14575,2018-12-10 - 2018-12-17
15.24,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",OFF-BI-10000605,Consumer,Logan Currie,LC-17140,2018-12-10 - 2018-12-17
13.23,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",OFF-PA-10002615,Consumer,Logan Currie,LC-17140,2018-12-10 - 2018-12-17
66.28,Eureka Sanitaire  Commercial Upright,OFF-AP-10003217,Consumer,Logan Currie,LC-17140,2018-12-10 - 2018-12-17
13.98,Fiskars Spring-Action Scissors,OFF-SU-10002557,Corporate,Christine Abelman,CA-12310,2018-12-10 - 2018-12-17
481.32,Iceberg Mobile Mega Data/Printer Cart,OFF-ST-10001526,Corporate,Christine Abelman,CA-12310,2018-12-10 - 2018-12-17
32.56,Adjustable Personal File Tote,OFF-ST-10001031,Corporate,Dave Poirier,DP-13105,2018-12-10 - 2018-12-17
11.81,GBC Plastic Binding Combs,OFF-BI-10000320,Home Office,Hallie Redmond,HR-14770,2018-12-10 - 2018-12-17
28.16,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",OFF-PA-10001745,Home Office,Vicky Freymann,VF-21715,2018-12-10 - 2018-12-17
